Title,Description,Link,Category,Subcategory,Source
Food Available in Canada,Food available in Canada annually (in kilos per person per year). Data available on an annual basis.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210005401,Distribution,Access and Equity Issues,Stats Can
"Estimated areas, yield and production of principal field crops by Small Area Data Regions, in metric and imperial units","Estimated areas, yield and production of principal field crops by Small Area Data Regions.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210000201,Distribution,Access and Equity Issues,Stats Can
Crops: Hay and field crops:,"This third set of thematic maps, based on the 2016 Census of Agriculture data, present hay and field crop maps.",https://www150.statcan.gc.ca/n1/en/catalogue/95-634-X201700154904,Distribution,Access and Equity Issues,Stats Can
Crop Condition Assessment Program (Province),"This weekly interactive information package produces timely, quantitative and objective information on crop and pasture conditions at the provincial/state, census agricultural region / county, census division, census consolidated subdivision and township levels. It includes colour images and maps, graphs and tables from the Crop Condition Assessment Application (CCAP).Interactive and available free via the Internet, the CCAP uses low-resolution, digital satellite data during the growing season to monitor the changing vegetation conditions over the whole agriculture area of Canada and the northern half of the United States.",https://www150.statcan.gc.ca/n1/en/catalogue/22-205-X,Distribution,Access and Equity Issues,Stats Can
"Estimated value of shipments, orders and inventories, by province and Standard Industrial Classification, 1970 (SIC) (x 1,000)",,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1610008201,Distribution,Access and Equity Issues,Stats Can
"Survey of household spending (SHS), household spending, summary-level categories, by province, territory and selected metropolitan areas","This table contains 2356 series, with data for years 1997 - 2009 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (31 items: Canada; Newfoundland and Labrador; Prince Edward Island; Nova Scotia; ...); Household expenditure summary-level categories (19 items: Total expenditure; Total current consumption; Food; Shelter;...); Statistics (4 items: Average expenditure; Percent of households reporting; Estimated number of households reporting; Median expenditure per household reporting).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110019701,Distribution,Access and Equity Issues,Stats Can
"Consumer Price Index by product group, monthly, percentage change, not seasonally adjusted, Canada, provinces, Whitehorse, Yellowknife and Iqalui","Monthly indexes and percentage changes for major components and special aggregates of the Consumer Price Index (CPI), not seasonally adjusted, for Canada, provinces, Whitehorse, Yellowknife and Iqaluit. Data are presented for the corresponding month of the previous year, the previous month and the current month. The base year for the index is 2002=100.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000413,Distribution,Food Acquired,Stats Can
"Detailed food spending, Canada, regions and provinces","Survey of Household Spending (SHS), average household spending on detailed food categories.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1110012501,Distribution,Food Acquired,Stats Can
"Retail sales, price, and volume, seasonally adjusted (x 1,000,000)","Retail trade sales, price, and volume, for Canada, includes all members under North American Industry Classification System. Data is seasonally adjusted, available on a monthly basis in dollars x 1,000,000.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010007801,Distribution,Food Acquired,Stats Can
"Stocks of grain and oilseeds at March 31, July 31 and December 31 (x 1,000)","This table contains 158 series, with data for years 1980 - 2017 (not all combinations necessarily have data for all years). This table contains data described by the following dimensions (Not all combinations are available): Geography (12 items: Canada; Eastern Canada; Prince Edward Island; Nova Scotia; ...); Type of stock (3 items: Farm and commercial, total; Farm stocks; Commercial stocks); Type of crop (16 items: Barley; Canary seed; Canola (rapeseed); Chick peas; ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210000701,Distribution,Food Acquired,Stats Can
Farm supply and disposition of grains,"Farm supply and disposition of grains as of March 31, July 31, August 31 (soybeans only) and December 31; data on supplies, production, stocks, deliveries, animal feed and waste for crops.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210001501,Supply,Food Production,Stats Can
Supply and disposal of corrn,"Data on supplies, production, total imports and exports, stocks and domestic disappearance of corn in Canada and selected provinces.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210001401,Supply,Imports and Exports,Stats Can
"Fruit and vegetable consumption, 2015","This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The results shown are based on Canadian Community Health Survey questions that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-X201700114764,Distribution,Food Acquired,Stats Can
"Cattle statistics, supply and disposition of cattle","Cattle statistics, supply and disposition of cattle, Canada and provinces (head x 1,000). Data are available on an annual basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210013901,Supply,Food Production,Stats Can
"Stocks of frozen and chilled imported meats, quarterly","Stocks of frozen and chilled imported meats, Canada (in tonnes). Data are available on a quarterly basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210013801,Distribution,Imports and Exports,Stats Can
"Stocks of frozen and chilled meats, domestic and imported, in cold storage, quarterly","Stocks of frozen and chilled meats, domestic and imported, in cold storage, Canada and provinces (in tonnes). Data are available on a quarterly basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210013701,Distribution,Imports and Exports,Stats Can
Milk and cream sales (cash receipts),"Cash receipts from milk and cream sold off farms, Canada and provinces (in dollars). Data are available on a monthly basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210011001,Distribution,Food Acquired,Stats Can
Milk production and utilization,"Milk production and utilization, Canada and provinces (in kilolitres). Data are available on a monthly basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210011301,Distribution,Food Acquired,Stats Can
Supply and disposition of milk products,Supply and disposition of milk products in Canada (in tonnes). Data are available on a monthly basis.,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210010901,Supply,Food Production,Stats Can
"Sheep statistics, supply and disposition of sheep and lambs","Sheep statistics, supply and disposition of sheep and lambs, Canada and provinces (head x 1,000). Data are available on an annual basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210014101,Supply,Food Production,Stats Can
"Hogs, sheep and lambs, farm and meat production","Hogs, sheep and lambs, farm and meat production, Canada (head unless otherwise noted). Data are available on an annual basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210012601,Supply,Food Production,Stats Can
farm supply and disposition of grains,"Production and disposition of eggs, Canada and provinces (layers unless otherwise noted). Data are available on an annual basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210011901,Supply,Food Production,Stats Can
"Livestock, poultry, bees and characteristics of farm operators Canada","This fifth set of thematic maps, based on the 2016 Census of Agriculture data, present maps about livestock, poultry and bees as well as characteristics of farm operators such as age and sex and hours of work.",https://www150.statcan.gc.ca/n1/pub/95-634-x/2017001/article/54906-eng.htm,Distribution,Access and Equity Issues,Stats Can
"Production, disposition and farm value of poultry meat (x 1,000)Production, disposition and farm value of poultry meat, Canada and provinces (data in thousands). Data are available on an annual basis.","This table contains 168 series, with data for years 1941 - 1976 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (10 items: Canada;Prince Edward Island;Nova Scotia;New Brunswick; ...); Type of poultry meat (2 items: Goose;Duck); Components (3 items: Total birds;Bird meat consumed by producers;Bird meat sold); Estimates (3 items: Production;Weight;Value)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210031601,Supply,Food Production,Stats Can
"Total poultry meat production, disposition and farm value (x 1,000)","This table contains 84 series, with data for years 1941 - 1976 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (10 items: Canada;Prince Edward Island;Nova Scotia;New Brunswick; ...); Components (3 items: Total poultry;Poultry meat consumed by producers;Poultry meat sold); Estimates (3 items: Production;Weight;Value)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210031701,Supply,Food Production,Stats Can
"Protein sources in the Canadian diet, 2015","infographic presents results from the 2015 Canadian Community Health Survey – Nutrition, relating to protein sources in the Canadian diet.",https://www150.statcan.gc.ca/n1/en/catalogue/11-627-M2018004,Distribution,Education information advertising,Stats Can
Crops: Hay and field crops,"This third set of thematic maps, based on the 2016 Census of Agriculture data, present hay and field crop maps.",https://www150.statcan.gc.ca/n1/en/catalogue/95-634-X201700154904,Distribution,Education information advertising,Stats Can
Nutritional information on packaged foods,"The purpose of the 2016 General Social Survey on Canadians at Work and Home is to explore the lifestyle behaviour of Canadians. The section on Nutritional awareness explores how aware Canadians are of the nutritional information on packaged food. This infographics also looks at the socio-economic characteristics of those who consult this type of information, how often they do so and for those who do not use them, the reasons for not doing so. Women consult nutritional information more frequently than men",https://www150.statcan.gc.ca/n1/en/catalogue/11-627-M2018002,Distribution,Education information advertising,Stats Can
Time to eat,"This infographic presents results from the 2015 General social Survey on time use, specifically the activity of eating from a time use perspective. The data were collected in a 24 hour diary from respondents 15 years or older. The diary covered the total activities of a day.",https://www150.statcan.gc.ca/n1/en/catalogue/11-627-M2018003,Distribution,Knowledge attitudes beliefs behaviours ,Stats Can
Monthly food distribution,"This infographic presents results from the 2015 General social Survey on time use, specifically the activity of eating from a time use perspective. The data were collected in a 24 hour diary from respondents 15 years or older. The diary covered the total activities of a day.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810000201,Distribution,Food preferences ,Stats Can
"Whole sale trade, sales","Wholesale trade sales, available for all members under North American Industry Classification System (NAICS) and adjustments dimensions, available monthly, for Canada, provinces and territories, in dollars X 1,000.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010007401,Distribution,Food preferences ,Stats Can
"Cattle statistics, supply and disposition of cattle","Cattle statistics, supply and disposition of cattle, Canada and provinces (head x 1,000). Data are available on an annual basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210013901,Distribution,Food Acquired,Stats Can
Milk production and utilization,"Milk production and utilization, Canada and provinces (in kilolitres). Data are available on a monthly basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210011301,Supply,Food Production,Stats Can
"Production and disposition of eggs, annual","Production and disposition of eggs, Canada and provinces (layers unless otherwise noted). Data are available on an annual basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210011901,Distribution,Food Acquired,Stats Can
"Goose and duck meat production, disposition and farm value","This table contains 168 series, with data for years 1941 - 1976 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (10 items: Canada;Prince Edward Island;Nova Scotia;New Brunswick; ...); Type of poultry meat (2 items: Goose;Duck); Components (3 items: Total birds;Bird meat consumed by producers;Bird meat sold); Estimates (3 items: Production;Weight;Value)",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210031601,Distribution,Food Acquired,Stats Can
"Sheep statistics, supply and disposition of sheep and lambs","Sheep statistics, supply and disposition of sheep and lambs, Canada and provinces (head x 1,000). Data are available on an annual basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210014101,Distribution,Food Acquired,Stats Can
Channels of distribution for horticulture product sales and resales:,"Total sales of flowers, plants, fruit and vegetables to retail florists, wholesalers, market chain stores, public agencies, etc.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210002201,Distribution,Food Acquired,Stats Can
Channels of distribution for nursery product sales and resales,"Total sales including direct sales to the public, fruit growers, landscape contractors, market chain stores, government and public agencies, etc.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210003301,Distribution,Food Acquired,Stats Can
"Food services and drinking places, distribution of total sales","The distribution of total sales, by North American Industry Classification System (NAICS) 722 food services and drinking places, which include all members under distribution of sales, annual, (percent), for five years of data.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2110021301,Distribution,Food Acquired,Stats Can
"Fruit and vegetable consumption, 2014","This is a Health fact sheet about fruit and vegetable consumption among Canadians aged 12 and older. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-X201500114182,Distribution,Education information advertising,Stats Can
"Fruit and vegetable consumption, 2013","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-X201400114018,Distribution,Education information advertising,Stats Can
"Fruit and vegetable consumption, 2012","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-X201300111837,Distribution,Education information advertising,Stats Can
"Fruit and vegetable consumption, 2011 ","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-X201200111661,Distribution,Education information advertising,Stats Can
"Fruit and vegetable consumption, 2010 ","This is a Health fact sheet about fruit and vegetable consumption among Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-X201100111461,Distribution,Education information advertising,Stats Can
"Fruit and vegetable consumption, 2009","This is a Health fact sheet about fruit and vegetable consumption amoung Canadians. The data are based on a Canadian Community Health Survey question that measured the number of times respondents reported that they consumed fruit and vegetables, rather than the actual quantity consumed.",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-X201000211259,Distribution,Education information advertising,Stats Can
Fruit and vegetable consumption 2008,"Fruit and vegetables are an important source of vitamins, minerals and fibre. A diet rich in fruit and vegetables may reduce the risk of heart disease and some types of cancer.",https://www150.statcan.gc.ca/n1/en/catalogue/82-625-X201000111101,Distribution,Education information advertising,Stats Can
Fresh water resources in Canada - ARCHIVED,"Water is a basic necessity of life: access to clean water in sufficient quantity is an integral part of our well-being. It has had a strong influence on Canada's development as a country and remains a precious part of our natural resource wealth. While Canadians live in a country with a plentiful supply of fresh water, they are also concerned about a number of water-related issues. These include the availability, distribution, use and quality of water, as well as the controls placed on water usage. This article examines these issues by creating a statistical portrait of Canada's fresh water resources.",https://www150.statcan.gc.ca/n1/en/catalogue/16-201-X20030006667,Distribution,Access and Equity Issues,Stats Can
Food Expenditure in Canada - ARCHIVED,"The Family food expenditure in Canada publication provides detailed and summary information on food expenditure by household. Food items purchased from stores and meals bought from restaurants are presented separately. Summary food items purchased from stores include: fresh and frozen meat and poultry; fish; dairy products - milk, cheese; eggs; bakery and cereal products - bread, cookies, cakes; pasta products; breakfast cereal; fresh fruit; other prepared fruit; fresh vegetables; other prepared vegetables; condiments; sugar; coffee and tea; fats and oils; other prepared foods - soups, potato chips; and non-alcoholic beverages. Also, total food purchased from stores is shown by type of store - supermarkets, food specialty stores, convenience stores and other stores. Meals purchased from restaurants are presented as follows: breakfasts, lunches, dinners and between-meals food. Food expenditures are profiled by size and type of household and other household characteristics. Discussions of food purchasing patterns over the years, who goes grocery shopping, who eats out and who buys diary products are included. Information about household income is presented by income group and income quintile. Summary and detailed information for the provinces (excluding the North West Territories and the Yukon Territory), selected metropolitan areas (including Whitehorse and Yellowknife) and size of area of residence is presented. Detailed expenditure information and cross-classified tables for all levels of geography are available upon request.",https://www150.statcan.gc.ca/n1/en/catalogue/62-554-X,Distribution,Access and Equity Issues,Stats Can
"A Geographic Profile of Canadian Livestock, 1991-2001 - ARCHIVED","This study examines the geographic distribution of livestock and poultry in May 2001, at the time of the 2001 Census of Agriculture. It compares it with the situation on Census Day 1991 to determine how concentrations have changed during the 1990s.",https://www150.statcan.gc.ca/n1/en/catalogue/21-601-M2003062,Distribution,Access and Equity Issues,Stats Can
Economic Overview of Farm Incomes - ARCHIVED,"This series of 11 bulletins produced jointly by Statistics Canada and Agriculture and Agri-Food Canada offers readers an analytical and illustrative presentation of farm financial data. Data from Revenue Canada taxation of unincorporated and incorporated farms and other agricultural surveys provide the statistical basis for these bulletins. Eight of these bulletins feature a specific farm type providing analysis on such key variables as revenues and expenses, net operating income and net operating margins. Physical characteristics such as crop areas and livestock inventory numbers as well as some distributional data are presented. The first bulletin of this series provides an overview of all farm types combined. The two remaining bulletins present sources and levels of off-farm income for farm operators and farm families for selected farm types. Depending on the variables, the discussion is presented by province or by revenue class. Comparisons of financial performance are also made for selected variables. Tables and graphs support the analytical texts.",https://www150.statcan.gc.ca/n1/en/catalogue/21-005-X,Distribution,Access and Equity Issues,Stats Can
Distribution and Concentration of Canadian Livestock - ARCHIVED,This study gives a snapshot of where the larger concentrations of livestock and poultry were at the time of the Census of Agriculture in May 1996.,https://www150.statcan.gc.ca/n1/en/catalogue/21-601-M2001047,Distribution,Access and Equity Issues,Stats Can
The Dynamics of Income and Employment in Rural Canada - ARCHIVED,"This report provides a preliminary analysis of the effects of change on income and employment in rural areas of Canada, its influence on the risk of social exclusion and disadvantage (i.e., low income and low pay), and the differences that may arise in relation to non-rural areas.",https://www150.statcan.gc.ca/n1/pub/32-26-0001/322600012018001-eng.htm,Distribution,Access and Equity Issues,Stats Can
"Supply and disposition of corn (x 1,000)","Data on supplies, production, total imports and exports, stocks and domestic disappearance of corn in Canada and selected provinces.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210001401,Supply,Imports and Exports,Stats Can
"Supply and disposition of food in Canada (x 1,000)","Supply and disposition of food in Canada by commodity. Data available on an annual basis, in tonnes.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210001301,Supply,Food Production,Stats Can
"Production and disposition of eggs, monthly","Production and disposition of eggs, Canada and provinces (layers unless otherwise noted). Data are available on a monthly basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210012101,Supply,Food Production,Stats Can
"Production, disposition and farm value of poultry meat (x 1,000)Production, disposition and farm value of poultry meat, Canada and provinces (data in thousands). Data are available on an annual basis.","Production, disposition and farm value of poultry meat, Canada and provinces (data in thousands). Data are available on an annual basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210011701,Supply,Food Production,Stats Can
"Archived - Total poultry meat production, disposition and farm value (x 1,000)","This table contains 84 series, with data for years 1941 - 1976 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (10 items: Canada;Prince Edward Island;Nova Scotia;New Brunswick; ...); Components (3 items: Total poultry;Poultry meat consumed by producers;Poultry meat sold); Estimates (3 items: Production;Weight;Value).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210025601,Supply,Food Production,Stats Can
"Archived - Supply and disposition of selected principal grains, by crop year","This table contains 146 series, with data for years 1933 - 1978 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available):Geography (1 item: Canada) ;Supply and disposition (25 items: Total supplies;Production;Imports;Stocks at commencement of crop year; ...) ;Type of crop (7 items: Wheat;Oats;Barley;Rye; ...).",https://www150.statcan.gc.ca/n1/pub/32-26-0001/322600012018001-eng.htm,Supply,Imports and Exports,Stats Can
Archived - Supply and disposition of poultry meat and eggs in Canada,"This table contains 75 series, with data for years 1920 - 2009 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Supply and disposition (13 items: Net supply;Total supply;Beginning stocks;Production; ...); Commodity (8 items: Total poultry meat;Chicken (including stewing hen);Stewing hen;Chicken; ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210029501,Supply,Food Production,Stats Can
Poultry and Egg Statistics,"This publication presents data on the turkey, chicken, stewing hen and egg industries. The topics covered in this study include production and value, disposition, stocks, prices and the per capita consumption disappearance of poultry meat and eggs. Notes: This product has been discontinued as of August 2012. The latest issue of this publication was Poultry and Egg Statistics, April to June 2012. Data tables are available through CANSIM (free); 003-0018 to 003-0024 at http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng&p2=50 and in the Summary tables section (free).",https://www150.statcan.gc.ca/n1/en/catalogue/23-015-X,Supply,Food Production,Stats Can
Cereals and Oilseeds Review,"This publication provides current grain marketing data and commentary on the major Canadian grains and their products. Detailed supply-disposition analyses are presented along with exports and imports, cash and futures prices and domestic use data. A monthly situation report provides industry highlights. Each issue is an up-to-date source of information for grain analysts, traders, agri-business and the farm community.Notes: This product has been discontinued as of August 2012. The latest issue of this publication was Cereals and Oilseeds Review, June 2012. Data tables are available through CANSIM (free); 001-0001, 001-0004, 001-0005, 001-0010, 001-0014, 001-0015, 001-0017, 001-0018, 001-0019, 001-0020, 001-0040, 001-0041, 001-0042, 001-0043 and 001-0044 at http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng&p2=50 and in the Summary tables section (free).",https://www150.statcan.gc.ca/n1/en/catalogue/22-007-X,Supply,Food Production,Stats Can
Hog Statistics,"This publication contains data on the hog industry: inventory on farms, supply and disposition, farm production, inventory by farm type and prices. Notes: This product has been discontinued as of August 2012. The latest issue of this publication was Hog Statistics, Second Quarter 2012. Data tables are available through CANSIM (free); 003-0004, 003-0028, 003-0087 to 003-0089, 003-0092 and 003-0093 at http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng&p2=50 and in the Summary tables section (free).",https://www150.statcan.gc.ca/n1/en/catalogue/23-010-X,Supply,Food Production,Stats Can
Cattle Statistics ,"This publication contains data on the cattle industry: inventory on farms, supply and disposition, farm production, inventory by farm type and prices.",https://www150.statcan.gc.ca/n1/en/catalogue/23-012-X,Supply,Food Production,Stats Can
Placement of chicks and turkey poults for production,"Placement of chicks and turkey poults for production, Canada and provinces (poults unless otherwise noted). Data are available on a monthly basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210012001,Supply,Food Production,Stats Can
Supply and disposition of grains in Canada,"Data on supplies, production, total imports and exports, stocks and domestic disappearance of grains in Canada. Supply and disposition of grains in Canada as of March 31, July 31, August 31 (soybeans only) and December 31.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210001301,Supply,Imports and Exports,Stats Can
"Supply and disposition of corn (x 1,000)","Data on supplies, production, total imports and exports, stocks and domestic disappearance of corn in Canada and selected provinces.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210001401,Distribution,Food Acquired,Stats Can
"Supply and disposition of corn (x 1,000)","Data on supplies, production, total imports and exports, stocks and domestic disappearance of corn in Canada and selected provinces.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210001401,Supply,Food Production,Stats Can
"Supply and disposition of food in Canada (x 1,000)","Supply and disposition of food in Canada by commodity. Data available on an annual basis, in tonnes.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210001301,Supply,Food Production,Stats Can
Farm supply and disposition of grains,"Farm supply and disposition of grains as of March 31, July 31, August 31 (soybeans only) and December 31; data on supplies, production, stocks, deliveries, animal feed and waste for crops.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210001501,Supply,Food Production,Stats Can
"Supply and disposition of corn (x 1,000)","Data on supplies, production, total imports and exports, stocks and domestic disappearance of corn in Canada and selected provinces.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210001401,Supply,Food Production,Stats Can
"Supply and disposition of food in Canada (x 1,000)","Supply and disposition of food in Canada by commodity. Data available on an annual basis, in tonnes.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210001301,Supply,Food Production,Stats Can
"Production and disposition of eggs, monthly","Production and disposition of eggs, Canada and provinces (layers unless otherwise noted). Data are available on a monthly basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210012101,Supply,Food Production,Stats Can
"Production, disposition and farm value of poultry meat (x 1,000)Production, disposition and farm value of poultry meat, Canada and provinces (data in thousands). Data are available on an annual basis.","Production, disposition and farm value of poultry meat, Canada and provinces (data in thousands). Data are available on an annual basis.",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210011701,Supply,Food Production,Stats Can
"Archived - Total poultry meat production, disposition and farm value (x 1,000)","This table contains 84 series, with data for years 1941 - 1976 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (10 items: Canada;Prince Edward Island;Nova Scotia;New Brunswick; ...); Components (3 items: Total poultry;Poultry meat consumed by producers;Poultry meat sold); Estimates (3 items: Production;Weight;Value).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210025601,Supply,Food Production,Stats Can
"Archived - Supply and disposition of selected principal grains, by crop year","This table contains 146 series, with data for years 1933 - 1978 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available):Geography (1 item: Canada) ;Supply and disposition (25 items: Total supplies;Production;Imports;Stocks at commencement of crop year; ...) ;Type of crop (7 items: Wheat;Oats;Barley;Rye; ...).",https://www150.statcan.gc.ca/n1/pub/32-26-0001/322600012018001-eng.htm,Supply,Food Production,Stats Can
Archived - Supply and disposition of poultry meat and eggs in Canada,"This table contains 75 series, with data for years 1920 - 2009 (not all combinations necessarily have data for all years), and is no longer being released. This table contains data described by the following dimensions (Not all combinations are available): Geography (1 item: Canada); Supply and disposition (13 items: Net supply;Total supply;Beginning stocks;Production; ...); Commodity (8 items: Total poultry meat;Chicken (including stewing hen);Stewing hen;Chicken; ...).",https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3210029501,Supply,Food Production,Stats Can
Poultry and Egg Statistics,"This publication presents data on the turkey, chicken, stewing hen and egg industries. The topics covered in this study include production and value, disposition, stocks, prices and the per capita consumption disappearance of poultry meat and eggs. Notes: This product has been discontinued as of August 2012. The latest issue of this publication was Poultry and Egg Statistics, April to June 2012. Data tables are available through CANSIM (free); 003-0018 to 003-0024 at http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng&p2=50 and in the Summary tables section (free).",https://www150.statcan.gc.ca/n1/en/catalogue/23-015-X,Supply,Food Production,Stats Can
Cereals and Oilseeds Review,"This publication provides current grain marketing data and commentary on the major Canadian grains and their products. Detailed supply-disposition analyses are presented along with exports and imports, cash and futures prices and domestic use data. A monthly situation report provides industry highlights. Each issue is an up-to-date source of information for grain analysts, traders, agri-business and the farm community.Notes: This product has been discontinued as of August 2012. The latest issue of this publication was Cereals and Oilseeds Review, June 2012. Data tables are available through CANSIM (free); 001-0001, 001-0004, 001-0005, 001-0010, 001-0014, 001-0015, 001-0017, 001-0018, 001-0019, 001-0020, 001-0040, 001-0041, 001-0042, 001-0043 and 001-0044 at http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng&p2=50 and in the Summary tables section (free).",https://www150.statcan.gc.ca/n1/en/catalogue/22-007-X,Supply,Food Production,Stats Can
Hog Statistics,"This publication contains data on the hog industry: inventory on farms, supply and disposition, farm production, inventory by farm type and prices. Notes: This product has been discontinued as of August 2012. The latest issue of this publication was Hog Statistics, Second Quarter 2012. Data tables are available through CANSIM (free); 003-0004, 003-0028, 003-0087 to 003-0089, 003-0092 and 003-0093 at http://www5.statcan.gc.ca/cansim/home-accueil?lang=eng&p2=50 and in the Summary tables section (free).",https://www150.statcan.gc.ca/n1/en/catalogue/23-010-X,Supply,Food Production,Stats Can
Cattle Statistics ,"This publication contains data on the cattle industry: inventory on farms, supply and disposition, farm production, inventory by farm type and prices.",https://www150.statcan.gc.ca/n1/en/catalogue/23-012-X,Supply,Food Production,Stats Can
Sheep statistics ,"This publication contains data on the sheep industry, that is inventory on farms, supply-disposition, farm production, inventory by farm type and prices",https://www150.statcan.gc.ca/n1/en/catalogue/23-011-X,Supply,Food Production,Stats Can
